date,ticker,predicted_return,actual_return
2023-09-21,OKZ.zw,0.010926527,0.0
2023-09-21,SEED.zw,0.01563786,0.0
2023-09-22,AFDIS.zw,0.0036427071,0.0
2023-09-22,BAT.zw,0.0035899105,0.0
2023-09-22,CAFCA.zw,0.002923638,0.0
2023-09-22,CBZ.zw,0.003303298,0.0
2023-09-22,DLTA.zw,0.0024150913,-0.150027578599007
2023-09-22,DZL.zw,0.0030629917,0.0389357560025958
2023-09-22,ECO.zw,0.003556017,0.0
2023-09-22,OKZ.zw,0.0036497512,0.0
2023-09-22,SEED.zw,0.0037388839,0.0
2023-09-25,AFDIS.zw,0.0071923784,0.0
2023-09-25,BAT.zw,0.0036858406,0.0624609618988134
2023-09-25,CAFCA.zw,0.0037794504,0.0
2023-09-25,CBZ.zw,0.0032065695,-0.1822457378012935
2023-09-25,DLTA.zw,0.003686854,-0.1207764198418404
2023-09-25,DZL.zw,0.002892718,0.0
2023-09-25,ECO.zw,0.0041248286,0.0470155355682746
2023-09-25,OKZ.zw,0.0042659417,0.0
2023-09-25,SEED.zw,0.004124781,0.1530652089027726
2023-09-26,AFDIS.zw,0.013103704,0.0843210294615646
2023-09-26,BAT.zw,0.01809397,0.1499063085571514
2023-09-26,CAFCA.zw,0.016705837,0.0
2023-09-26,CBZ.zw,0.006044996,0.1499185225420971
2023-09-26,DLTA.zw,0.012262127,0.1495040151157298
2023-09-26,DZL.zw,0.032516975,-0.0133552496404355
2023-09-26,ECO.zw,0.016283624,-0.1389004581424406
2023-09-26,OKZ.zw,0.0028229817,-0.1359129383313181
2023-09-26,SEED.zw,0.0024436577,0.1200671704450042
2023-09-27,AFDIS.zw,0.005684916,-0.1949025487256371
2023-09-27,BAT.zw,0.0039985348,0.0
2023-09-27,CAFCA.zw,0.0037782479,0.0
2023-09-27,CBZ.zw,0.0034231315,0.0
2023-09-27,DLTA.zw,0.004458429,0.0
2023-09-27,DZL.zw,0.0034911865,0.0
2023-09-27,ECO.zw,0.002753097,0.0
2023-09-27,OKZ.zw,0.003045784,0.0
2023-09-27,SEED.zw,0.0027017677,0.0558659217877097
2023-09-28,AFDIS.zw,0.0029356955,0.1499118165784829
2023-09-28,BAT.zw,0.0035244625,-0.0651840490797546
2023-09-28,CAFCA.zw,0.0044504036,0.1802023516543613
2023-09-28,CBZ.zw,0.00870135,0.1499073215940687
2023-09-28,DLTA.zw,0.022739563,0.1474914366310702
2023-09-28,DZL.zw,0.02750777,0.1453906935908688
2023-09-28,ECO.zw,0.032930054,0.0
2023-09-28,OKZ.zw,0.012596388,0.0
2023-09-28,SEED.zw,0.0126755005,0.1473248505288977
2023-09-29,AFDIS.zw,0.022354972,0.0
2023-09-29,BAT.zw,0.029234547,0.0160342063067877
2023-09-29,CAFCA.zw,0.019760784,0.0
2023-09-29,CBZ.zw,0.011631216,0.0
2023-09-29,DLTA.zw,0.0076600206,-0.0526038926880585
2023-09-29,DZL.zw,0.0044044396,0.0055524708495278
2023-09-29,ECO.zw,0.003693703,0.0220872446162341
2023-09-29,OKZ.zw,0.0028534434,-0.0270124257158292
2023-09-29,SEED.zw,0.0034383947,0.0027762354247637
2023-10-02,AFDIS.zw,0.0034457976,0.0
2023-10-02,BAT.zw,0.004154348,0.1356589147286824
2023-10-02,CAFCA.zw,0.011208922,-0.0487567040468065
2023-10-02,CBZ.zw,0.013440393,0.0051255766273703
2023-10-02,DLTA.zw,0.013418371,0.0
2023-10-02,DZL.zw,0.008504644,-0.0050994390617029
2023-10-02,ECO.zw,0.00544095,0.0768836494105582
2023-10-02,OKZ.zw,0.0041792723,0.0
2023-10-02,SEED.zw,0.012357816,0.0
2023-10-03,AFDIS.zw,0.008786481,0.0
2023-10-03,BAT.zw,0.007995369,0.0
2023-10-03,CAFCA.zw,0.0037243057,0.0
2023-10-03,CBZ.zw,0.003637759,0.0
2023-10-03,DLTA.zw,0.003736652,-0.0713945740123748
2023-10-03,DZL.zw,0.003045915,0.1677344951307018
2023-10-03,ECO.zw,0.0040675215,-0.1655876220783495
2023-10-03,OKZ.zw,0.004116645,0.0
2023-10-03,SEED.zw,0.0038774803,0.010520778537612
2023-10-04,AFDIS.zw,0.008528959,0.0
2023-10-04,BAT.zw,0.0041415635,0.0937011972930763
2023-10-04,CAFCA.zw,0.003902896,0.0
2023-10-04,CBZ.zw,0.003165623,0.0
2023-10-04,DLTA.zw,0.01033599,0.0
2023-10-04,DZL.zw,0.003034254,0.0333174678724417
2023-10-04,ECO.zw,0.0040887645,0.0
2023-10-04,OKZ.zw,0.0038809474,-0.0046061722708427
2023-10-04,SEED.zw,0.0042615216,-0.07403979639056
2023-10-05,AFDIS.zw,0.0037932547,0.0
2023-10-05,BAT.zw,0.003703507,0.2000249875062465
2023-10-05,CAFCA.zw,0.0065009575,0.1500260281103591
2023-10-05,CBZ.zw,0.016343698,0.0
2023-10-05,DLTA.zw,0.008010826,0.0
2023-10-05,DZL.zw,0.011097217,0.0
2023-10-05,ECO.zw,0.0038021933,0.0
